Company Name,negative,neutral,positive,sentiment_group
"ANDPAD VietNam Co., Ltd",0.0,0.0,100.0,positive
ARIS Vietnam,7.69,38.46,53.85,positive
"AZPLAYS Co., LTD",0.0,33.33,66.67,positive
AZoom VietNam,0.0,20.0,80.0,positive
Accenture,5.56,27.78,66.67,positive
Adnovum Vietnam,0.0,0.0,100.0,positive
Ahamove,8.33,25.0,66.67,positive
Allexceed Việt Nam,11.76,35.29,52.94,positive
Alpaca Vietnam,0.0,0.0,100.0,positive
Asilla,10.0,0.0,90.0,positive
Athena Studio,4.0,0.0,96.0,positive
Aviron,0.0,0.0,100.0,positive
BAN VIEN CORPORATION,7.14,28.57,64.29,positive
Blue Belt Technology,20.0,6.67,73.33,positive
Bosch Global Software Technologies Company Limited,15.47,36.33,48.2,positive
Bray Leion Splash Group,23.08,7.69,69.23,positive
Breadstack Technologies Inc,7.14,7.14,85.71,positive
"CJ OLIVENETWORKS VINA CO., LTD",0.0,0.0,100.0,positive
CODE88 COMPANY LIMITED,28.57,0.0,71.43,positive
Capgemini Vietnam,27.78,43.06,29.17,neutral
Chotot,12.0,20.0,68.0,positive
CodeLink,0.0,0.0,100.0,positive
Collaboration Betters The World (CBTW),1.89,9.43,88.68,positive
Collaboration Betters The World - B.O.T,0.0,16.67,83.33,positive
Confluence Vietnam (HCMC),0.0,0.0,100.0,positive
Creative Force,1.01,1.01,97.98,positive
Công Ty Cổ Phần Tập Đoàn Meey Land,0.0,0.0,100.0,positive
DNSE,0.0,9.09,90.91,positive
DatVietVAC,44.44,11.11,44.44,neutral
Datalogic Việt Nam,9.09,18.18,72.73,positive
Deliveree On-Demand Logistics,5.88,11.76,82.35,positive
Dr.JOY,1.69,1.69,96.61,positive
ELCA,6.6,27.36,66.04,positive
East Agile,7.41,3.7,88.89,positive
Eastgate Software,8.33,0.0,91.67,positive
Employment Hero,0.0,0.95,99.05,positive
"Esoft Vietnam., Ltd",14.29,28.57,57.14,positive
Extreme Việt Nam,0.0,21.05,78.95,positive
F88,5.13,10.26,84.62,positive
FE CREDIT,26.09,17.39,56.52,positive
FPT Software,7.3,27.95,64.75,positive
FireGroup,6.25,6.25,87.5,positive
Floating Cube Studios,0.0,14.29,85.71,positive
Floware,0.0,0.0,100.0,positive
Forix,23.08,46.15,30.77,neutral
GEEK UP,26.09,13.04,60.87,positive
GENKI SYSTEM,0.0,0.0,100.0,positive
GFT Technologies Vietnam,2.0,0.0,98.0,positive
GHN,9.09,27.27,63.64,positive
GemCommerce,0.0,0.0,100.0,positive
GeoComply (GeoTech Hub Vietnam),1.16,2.33,96.51,positive
Grab (Vietnam) Ltd.,2.35,1.18,96.47,positive
Gsoft,50.0,40.0,10.0,negative
HARAVAN,7.5,10.0,82.5,positive
HCL Vietnam Company Limited,5.56,11.11,83.33,positive
HDWEBSOFT,25.0,37.5,37.5,neutral
HICAS,16.67,33.33,50.0,positive
HOIIO,0.0,0.0,100.0,positive
HRS Group,4.17,0.0,95.83,positive
Hanatour Japan System Việt Nam,0.0,0.0,100.0,positive
Hitachi Digital Services,14.46,45.38,40.16,neutral
Hybrid Technologies,5.34,22.9,71.76,positive
ICHIBA,0.0,0.0,100.0,positive
IMT Solutions,18.42,50.0,31.58,neutral
IT Consultis,25.0,0.0,75.0,positive
IVC (ISB Vietnam),15.62,21.88,62.5,positive
IVS,22.22,27.78,50.0,positive
Infodation Vietnam,0.0,33.33,66.67,positive
Innotech Vietnam Corporation,24.14,6.9,68.97,positive
Intratech Corp,0.0,33.33,66.67,positive
Intrepid Group Asia,0.0,15.38,84.62,positive
Jedi Technology,0.0,0.0,100.0,positive
Joblogic,9.09,9.09,81.82,positive
KIS Việt Nam,33.33,33.33,33.33,neutral
KMS Healthcare,0.0,5.56,94.44,positive
KMS Technology,3.19,12.75,84.06,positive
KiotViet Corporation,5.71,11.43,82.86,positive
Koh Young Technology Inc,0.0,0.0,100.0,positive
LARION,1.79,26.79,71.43,positive
LG CNS Việt Nam,0.0,4.17,95.83,positive
LG Electronics Development Vietnam (LGEDV),0.97,5.83,93.2,positive
LHV Software,11.11,11.11,77.78,positive
Live Payments,8.33,0.0,91.67,positive
Luxoft Vietnam,2.5,5.0,92.5,positive
MB Bank,0.81,2.44,96.75,positive
MEALSUITE,0.0,16.67,83.33,positive
MINU Pte. Ltd,0.0,0.0,100.0,positive
"MONEY FORWARD VIETNAM CO.,LTD",21.05,5.26,73.68,positive
MSB,12.5,12.5,75.0,positive
M_Service (MoMo),12.9,20.97,66.13,positive
Mcredit - Công ty Tài chính TNHH MB Shinsei,0.0,57.14,42.86,neutral
NAB Innovation Centre Vietnam,3.28,1.64,95.08,positive
NAL Việt Nam,0.0,11.11,88.89,positive
NAVER VIETNAM,0.0,0.0,100.0,positive
NEXON DEV VINA,6.25,6.25,87.5,positive
"NEYU Ltd.,",0.0,0.0,100.0,positive
NGS,0.0,0.0,100.0,positive
NTT DATA VDS,10.87,50.0,39.13,neutral
Nakivo,66.67,11.11,22.22,negative
NashTech,4.22,24.68,71.1,positive
Neos Việt Nam,0.0,0.0,100.0,positive
New Ocean IS,6.25,37.5,56.25,positive
OL Vietnam,16.67,5.56,77.78,positive
OLLI,0.0,25.0,75.0,positive
OMNIA SYSTEMS COMPANY LIMITED,0.0,0.0,100.0,positive
ONE Tech Stop Vietnam Company Ltd,0.0,0.0,100.0,positive
"Ohmyhotel&Co VN Co.,Ltd",11.11,11.11,77.78,positive
One Mount Group,10.0,20.0,70.0,positive
Onpoint,42.86,28.57,28.57,negative
Optimizely,6.9,0.0,93.1,positive
Orient Software Development Corp.,1.7,3.98,94.32,positive
Outcubator,22.22,11.11,66.67,positive
Outpost24,0.0,0.0,100.0,positive
PAL TECH,25.0,0.0,75.0,positive
PAVE,0.0,25.0,75.0,positive
PIXTA Vietnam,0.0,3.85,96.15,positive
PLAYSTUDIOS,0.0,0.0,100.0,positive
Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),3.61,16.87,79.52,positive
Parcel Perform,2.08,2.08,95.83,positive
Persol Career Tech Studio Vietnam,8.0,8.0,84.0,positive
Pixelz,10.0,20.0,70.0,positive
Pizza Hut Digital & Technology,0.0,0.0,100.0,positive
PosApp,0.0,0.0,100.0,positive
PwC Vietnam,11.11,22.22,66.67,positive
RAKSUL Vietnam,0.0,0.0,100.0,positive
Rakus Vietnam Company,0.0,0.0,100.0,positive
"Rakuten Fintech Vietnam Co., Ltd.",0.0,0.0,100.0,positive
Restaff – House Of Norway,0.75,2.24,97.01,positive
SAPO,15.79,26.32,57.89,positive
SCC Vietnam,0.0,9.09,90.91,positive
SECUTIX,27.27,36.36,36.36,neutral
SGH Asia Ltd.,33.33,33.33,33.33,neutral
SHINHAN DS,0.0,33.33,66.67,positive
SMG Swiss Marketplace Group,3.51,1.75,94.74,positive
Saigon Technology,2.86,22.86,74.29,positive
Samsung Electronics HCMC CE Complex,1.09,1.63,97.28,positive
Scandinavian Software Park,0.0,1.75,98.25,positive
Semrush,0.0,0.0,100.0,positive
Seven System Vietnam,0.0,0.0,100.0,positive
Shopee,0.0,27.78,72.22,positive
Simpson Strong-Tie Vietnam,16.67,0.0,83.33,positive
Skedulo Vietnam,0.0,7.14,92.86,positive
SmartOSC,6.33,17.09,76.58,positive
Solazu JSC,12.5,12.5,75.0,positive
Sota Tek,0.0,8.57,91.43,positive
Spartan Dev Inc,0.0,0.0,100.0,positive
TP Entertainment,0.0,0.0,100.0,positive
TRUONG MINH THINH TECHNOLOGY JOINT STOCK COMPANY,0.0,15.38,84.62,positive
Techbase Vietnam,4.0,16.0,80.0,positive
Techcombank,6.06,33.33,60.61,positive
The Access Group,0.0,12.5,87.5,positive
The Rep. Office of STYL Solutions Pte. Ltd. In HCMC,36.36,9.09,54.55,positive
Thoughtworks Vietnam,0.0,6.25,93.75,positive
Titan DMS,14.29,14.29,71.43,positive
"Toshiba Software Development (Viet Nam) Co, Ltd",10.91,45.45,43.64,neutral
Travala.com,0.0,0.0,100.0,positive
Trobz,0.0,17.65,82.35,positive
Trusting Social,2.5,5.0,92.5,positive
TymeX,0.47,1.89,97.64,positive
ULTIMS,0.0,0.0,100.0,positive
Unifiedpost,25.0,0.0,75.0,positive
VNDIRECT,12.5,12.5,75.0,positive
VNG Corporation,3.86,17.37,78.76,positive
VNPAY,6.9,20.69,72.41,positive
VPBank,22.73,22.73,54.55,positive
"Vareal Vietnam Co., Ltd",0.0,0.0,100.0,positive
VietinBank,0.0,66.67,33.33,neutral
Viettel Group,10.53,39.47,50.0,positive
Viettel Post (A Member of Viettel Group),23.08,30.77,46.15,positive
Vitalify Asia,30.23,30.23,39.53,positive
Vulcan Labs,27.27,0.0,72.73,positive
YOONG,0.0,0.0,100.0,positive
YRGLM Việt Nam,0.0,25.0,75.0,positive
Yes4All,40.0,0.0,60.0,positive
Zuhlke Engineering Vietnam,0.0,0.0,100.0,positive
bbv Vietnam,0.0,0.0,100.0,positive
ekino Vietnam,10.0,30.0,60.0,positive
i3 DVR International,0.0,16.67,83.33,positive
mgm technology partners Vietnam,2.44,4.88,92.68,positive
what3words,0.0,0.0,100.0,positive
